age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
38,2,89814,4,9,2,4,0,4,1,0,0,50,39,<=50K
28,1,336951,0,12,2,10,0,4,1,0,0,40,39,>50K
44,2,160323,7,10,2,6,0,2,1,7688,0,40,39,>50K
18,6,103497,7,10,4,14,3,4,0,0,0,30,39,<=50K
29,6,227026,4,9,4,14,4,2,1,0,0,40,39,<=50K
63,4,104626,6,15,2,9,0,4,1,3103,0,32,39,>50K
24,2,369667,7,10,4,7,4,4,0,0,0,40,39,<=50K
65,2,184454,4,9,2,6,0,4,1,6418,0,40,39,>50K
36,0,212465,2,13,2,0,0,4,1,0,0,40,39,<=50K
26,2,82091,4,9,4,0,1,4,0,0,0,39,39,<=50K
58,6,299831,4,9,2,14,0,4,1,0,0,35,39,<=50K
48,2,279724,4,9,2,6,0,4,1,3103,0,48,39,>50K
43,2,346189,5,14,2,3,0,4,1,0,0,50,39,>50K
43,2,128354,4,9,2,0,5,4,0,0,0,30,39,<=50K
40,2,85019,3,16,2,9,0,1,1,0,0,45,0,>50K
34,2,107914,2,13,2,12,0,4,1,0,0,47,39,>50K
34,2,238588,7,10,4,7,3,2,0,0,0,35,39,<=50K
25,2,220931,2,13,4,9,1,4,1,0,0,43,29,<=50K
25,2,205947,2,13,2,9,0,4,1,0,0,40,39,<=50K
23,2,134446,4,9,5,6,4,2,1,0,0,54,39,<=50K
54,2,99516,4,9,2,2,0,4,1,0,0,35,39,<=50K
32,4,109282,7,10,4,9,1,4,1,0,0,60,39,<=50K
46,5,106444,7,10,2,3,0,2,1,7688,0,38,39,>50K
24,4,188274,2,13,4,11,1,4,1,0,0,50,39,<=50K
23,1,258120,7,10,2,10,0,4,1,0,0,40,39,<=50K
26,2,43311,4,9,0,3,4,4,0,0,0,40,39,<=50K
65,6,191846,4,9,2,14,0,4,1,0,0,40,39,<=50K
36,1,403681,2,13,2,9,0,4,1,0,0,40,39,>50K
20,2,257509,4,9,4,2,3,4,1,0,0,40,39,<=50K
65,2,136384,5,14,2,9,0,4,1,0,0,50,39,>50K
44,3,120277,1,11,2,11,0,4,1,0,0,45,39,>50K
36,2,465326,4,9,2,4,0,4,1,0,0,40,39,<=50K
20,5,138371,7,10,4,4,3,4,1,0,0,32,39,<=50K
28,2,242832,1,11,2,9,5,4,0,0,0,36,39,>50K
54,2,186272,7,10,2,13,0,4,1,3908,0,50,39,<=50K
56,3,131916,4,9,6,3,1,4,0,0,0,50,39,<=50K
39,2,280215,4,9,0,5,3,2,1,0,0,40,39,<=50K
21,2,110677,7,10,4,0,3,4,0,0,0,40,39,<=50K
63,2,145985,4,9,2,2,0,4,1,0,0,40,39,<=50K
34,1,382078,2,13,2,3,0,4,1,3103,0,50,39,>50K
42,3,170721,4,9,2,3,0,4,1,5178,0,50,39,>50K
33,2,269705,4,9,2,5,0,4,1,0,0,40,39,<=50K
30,2,101135,2,13,4,3,1,4,0,0,0,50,39,<=50K
39,2,118429,7,10,0,11,1,4,1,0,0,40,39,<=50K
26,2,31208,5,14,4,3,1,4,0,0,0,40,39,<=50K
33,2,281384,4,9,4,6,3,4,0,0,0,40,39,<=50K
47,1,171807,4,9,0,0,1,4,0,0,0,40,39,<=50K
41,2,109912,2,13,4,7,1,4,0,0,0,40,0,<=50K
46,2,170338,4,9,5,13,1,4,1,0,0,40,39,<=50K
43,2,102606,4,9,2,11,0,4,1,0,0,48,39,<=50K
46,2,175622,1,11,2,12,0,4,1,0,0,40,39,<=50K
30,2,229636,4,9,2,6,0,4,1,0,0,40,26,<=50K
21,2,388946,7,10,5,5,1,4,0,0,0,40,39,<=50K
46,2,269034,7,10,2,2,0,3,1,0,0,40,6,<=50K
41,2,75012,4,9,2,6,0,4,1,0,0,50,39,<=50K
69,3,174379,4,9,2,11,0,4,1,0,0,30,39,<=50K
50,2,312477,4,9,2,13,0,4,1,0,0,40,39,<=50K
20,2,72055,7,10,4,0,1,4,0,0,0,40,39,<=50K
45,3,67001,7,10,2,6,0,4,1,0,0,50,39,<=50K
23,2,213734,2,13,4,3,1,4,1,0,0,40,39,<=50K
24,2,83141,7,10,5,7,1,4,1,0,1876,40,39,<=50K
31,4,113752,7,10,2,2,0,4,1,0,0,50,39,<=50K
43,2,170482,4,9,5,6,1,4,0,0,0,44,39,<=50K
55,2,160631,4,9,2,11,0,4,1,0,0,56,39,>50K
24,0,228724,7,10,4,1,1,4,1,0,0,40,39,<=50K
59,0,98984,2,13,0,0,1,4,1,0,0,40,39,<=50K
34,2,198751,5,14,4,7,1,0,1,0,0,40,39,<=50K
20,2,479296,4,9,4,5,3,4,1,0,0,40,39,<=50K
25,2,235218,2,13,4,3,3,4,0,0,0,40,39,<=50K
59,2,272087,4,9,2,13,0,4,1,0,0,40,39,>50K
20,2,169699,4,9,4,0,1,4,0,0,0,40,39,<=50K
33,2,202191,7,10,4,0,4,2,0,0,0,35,39,<=50K
22,2,212261,7,10,4,13,3,2,1,0,0,39,39,<=50K
41,1,201520,4,9,2,10,0,4,1,0,0,40,39,<=50K
28,2,154236,4,9,4,13,3,4,1,2597,0,40,39,<=50K
18,2,179020,4,9,4,6,3,4,0,0,0,48,39,<=50K
28,2,149624,7,10,2,2,0,4,1,0,0,40,39,<=50K
29,2,337266,1,11,2,3,0,4,1,0,0,40,39,>50K
40,2,103541,7,10,2,5,0,4,1,0,0,40,39,<=50K
26,2,206721,4,9,4,5,4,4,1,0,0,40,39,<=50K
46,2,96773,4,9,2,2,0,4,1,0,0,40,39,<=50K
44,2,180019,4,9,3,0,4,4,0,0,0,40,39,<=50K
43,2,179866,2,13,0,11,4,4,0,0,0,40,39,>50K
31,1,198770,2,13,0,9,4,4,0,0,0,60,39,<=50K
19,2,248730,7,10,4,10,3,4,1,0,0,30,39,<=50K
41,2,110732,7,10,0,12,1,4,0,0,0,40,39,<=50K
41,2,181020,4,9,0,5,4,4,0,0,0,40,39,<=50K
48,0,42972,3,16,2,9,5,4,0,0,0,40,39,>50K
28,2,134813,4,9,4,9,3,4,1,0,0,40,39,<=50K
27,4,115438,4,9,2,2,0,4,1,0,0,60,21,>50K
41,2,239296,5,14,2,9,0,4,1,0,2415,50,39,>50K
41,2,428420,7,10,2,0,0,4,1,0,0,40,39,<=50K
24,2,247846,4,9,4,2,4,2,0,0,0,40,39,<=50K
20,6,334105,4,9,4,14,1,4,0,0,0,40,39,<=50K
42,3,100793,3,16,2,9,0,4,1,0,0,41,39,>50K
57,2,244478,4,9,2,2,0,2,1,0,0,48,39,<=50K
30,2,142921,0,12,4,9,1,4,0,0,0,40,39,<=50K
36,2,182863,4,9,2,11,0,4,1,0,0,60,39,>50K
33,2,145402,4,9,2,6,5,4,0,0,0,35,39,<=50K
46,2,83822,5,14,2,9,0,4,1,0,0,40,39,<=50K
40,2,155972,4,9,2,3,0,4,1,7688,0,55,39,>50K
43,3,214503,4,9,2,3,0,4,1,0,1887,45,39,>50K
34,2,159303,5,14,4,9,3,4,0,0,0,30,39,<=50K
47,4,174995,4,9,6,3,1,4,0,0,0,30,39,<=50K
44,2,26669,1,11,6,3,4,4,0,0,0,30,39,<=50K
33,2,177727,4,9,2,11,0,4,1,0,0,40,39,>50K
19,2,456736,4,9,4,11,1,4,1,2907,0,30,39,<=50K
40,5,67874,2,13,2,0,0,4,1,0,1887,45,39,>50K
25,2,126110,7,10,4,0,3,4,0,0,0,40,39,<=50K
26,1,102264,4,9,4,2,1,4,1,0,0,40,39,<=50K
42,2,113732,7,10,4,5,4,2,0,0,625,40,39,<=50K
38,3,93225,2,13,0,3,1,4,1,0,0,40,39,<=50K
32,2,136921,4,9,2,11,0,4,1,0,0,40,39,<=50K
22,2,388885,4,9,2,2,0,4,1,0,0,45,39,<=50K
29,2,142249,2,13,4,11,3,4,1,0,0,40,39,<=50K
46,5,56841,5,14,2,3,0,4,1,0,0,45,39,>50K
31,2,156493,7,10,2,3,0,4,1,0,0,40,39,>50K
42,2,190910,4,9,2,2,0,4,1,0,0,45,39,<=50K
58,1,137249,4,9,0,3,1,4,1,0,0,33,39,<=50K
54,2,236157,4,9,2,9,0,4,1,0,1887,40,39,>50K
34,2,189759,5,14,4,9,1,4,1,0,0,40,39,<=50K
26,2,239877,2,13,4,0,1,4,0,0,0,40,39,<=50K
48,1,67229,5,14,5,0,4,2,0,0,0,40,39,<=50K
36,2,236391,7,10,2,3,0,4,1,0,0,45,39,>50K
24,2,325596,1,11,2,6,0,4,1,0,0,45,39,<=50K
40,2,83411,7,10,2,6,0,4,1,0,0,37,39,<=50K
33,3,154227,4,9,2,11,0,4,1,0,0,50,39,>50K
37,2,248010,7,10,2,6,0,4,1,0,1887,40,39,>50K
34,2,198613,5,14,4,3,3,4,1,4650,0,40,39,<=50K
28,6,168524,4,9,2,14,3,4,0,0,0,38,39,>50K
37,2,203079,2,13,6,3,1,4,0,0,0,55,39,<=50K
44,2,284652,4,9,0,11,4,2,0,0,0,40,39,<=50K
54,2,59840,4,9,0,5,1,4,1,0,0,45,39,<=50K
23,2,52753,4,9,4,6,1,4,1,0,0,50,39,<=50K
22,2,199266,4,9,4,7,1,4,0,0,0,45,39,<=50K
33,2,196385,2,13,2,3,0,4,1,0,1977,40,39,>50K
39,2,163205,2,13,5,9,1,4,1,0,0,50,39,>50K
47,2,411047,7,10,0,0,1,2,0,0,0,37,39,<=50K
26,2,209440,4,9,4,9,4,2,0,0,0,55,39,<=50K
31,2,56964,7,10,0,3,4,4,0,0,0,40,39,<=50K
44,2,299197,7,10,4,13,1,4,1,0,0,45,39,<=50K
42,3,240628,6,15,2,9,5,4,0,0,0,50,39,>50K
19,2,355313,4,9,4,6,1,4,0,0,0,40,39,<=50K
27,2,132267,4,9,2,5,0,4,1,0,0,40,39,>50K
51,1,174861,7,10,2,10,0,4,1,0,0,40,39,>50K
28,3,142443,2,13,2,3,0,4,1,0,0,50,39,<=50K
57,2,26716,2,13,0,2,1,4,1,0,0,45,39,<=50K
45,1,185588,2,13,0,9,4,4,0,0,0,40,39,<=50K
50,2,175029,1,11,2,9,0,4,1,0,0,40,39,>50K
34,3,34848,2,13,2,11,0,4,1,0,0,54,39,<=50K
34,2,357145,2,13,2,9,5,4,0,0,0,50,39,>50K
31,2,236861,7,10,2,11,0,4,1,0,0,55,39,>50K
25,2,29106,7,10,4,7,3,4,0,0,0,50,39,<=50K
38,0,213274,1,11,0,2,4,4,0,6497,0,40,39,<=50K
39,2,22463,2,13,2,13,0,4,1,0,0,40,39,<=50K
23,2,180497,2,13,4,12,3,2,0,0,0,32,39,<=50K
49,2,37306,4,9,2,6,0,4,1,0,0,40,39,<=50K
33,0,137814,4,9,4,7,1,4,1,0,0,32,39,<=50K
31,2,220915,1,11,5,2,1,4,1,0,0,40,39,<=50K
23,2,42251,2,13,4,3,1,4,0,0,0,45,39,<=50K
34,2,162312,2,13,2,0,0,1,1,0,0,40,30,<=50K
25,2,77698,4,9,4,6,1,1,0,0,0,40,30,<=50K
39,2,282951,4,9,4,2,4,4,1,0,0,40,39,<=50K
52,3,311259,4,9,2,11,0,4,1,0,0,40,39,>50K
41,2,277256,7,10,2,2,0,4,1,0,0,40,39,<=50K
53,1,169719,4,9,2,3,0,4,1,0,0,40,39,<=50K
38,2,237943,6,15,2,9,0,4,1,0,0,50,39,<=50K
55,2,119751,5,14,4,3,4,1,0,0,0,50,37,<=50K
34,2,236861,4,9,2,12,0,4,1,0,0,40,39,>50K
34,2,147215,1,11,0,12,4,4,0,0,0,60,39,<=50K
52,2,152373,7,10,2,12,0,4,1,5013,0,40,39,<=50K
26,2,362617,7,10,4,11,1,4,0,0,0,40,39,<=50K
31,2,103435,4,9,2,13,0,4,1,0,0,40,39,<=50K
25,1,281412,4,9,4,7,3,4,0,0,0,35,39,<=50K
55,4,105239,4,9,2,2,0,4,1,0,2057,60,39,<=50K
62,4,177493,7,10,2,13,0,4,1,0,0,32,39,<=50K
39,6,110342,4,9,2,14,5,4,0,0,0,50,39,<=50K
35,2,143385,4,9,2,5,0,4,1,0,0,40,39,<=50K
28,2,107189,4,9,2,11,3,4,0,0,0,40,39,<=50K
44,5,138634,4,9,2,6,0,4,1,0,0,40,39,<=50K
35,2,203717,1,11,4,2,1,4,1,0,0,50,39,<=50K
24,2,313956,2,13,2,9,0,4,1,0,0,40,39,>50K
42,0,177937,2,13,4,9,1,4,1,0,0,40,0,<=50K
28,2,193868,2,13,4,12,3,4,1,0,0,50,39,<=50K
21,2,250939,7,10,4,6,2,4,1,0,0,35,39,<=50K
62,0,57629,7,10,0,12,1,2,1,4650,0,40,39,<=50K
39,2,281768,4,9,4,7,1,2,0,0,0,40,39,<=50K
30,5,260782,4,9,4,7,1,4,1,0,0,40,39,<=50K
50,2,109937,7,10,2,3,5,4,0,0,0,50,39,<=50K
28,1,134890,5,14,4,9,1,4,1,0,0,40,39,<=50K
29,2,100293,7,10,4,9,1,4,0,0,0,40,39,<=50K
26,2,132179,2,13,4,0,3,4,0,0,0,40,39,<=50K
27,2,116372,5,14,4,3,1,4,0,0,0,40,39,<=50K
29,2,255412,7,10,2,5,0,4,1,3103,0,40,39,>50K
61,6,195789,4,9,2,14,0,4,1,0,0,40,39,<=50K
21,6,65481,7,10,4,14,3,4,0,0,0,30,39,<=50K
64,2,118944,7,10,2,3,5,4,0,0,0,40,39,>50K
46,5,149337,5,14,4,3,1,4,1,0,0,38,39,<=50K
53,6,237868,4,9,2,14,0,4,1,0,0,35,39,>50K
19,2,106183,4,9,4,7,3,0,0,0,0,35,39,<=50K
42,2,226388,4,9,0,7,1,2,1,0,0,52,39,<=50K
20,2,347391,7,10,4,10,1,2,1,0,0,60,39,<=50K
35,0,413930,4,9,2,2,0,4,1,0,0,40,39,>50K
32,2,174201,4,9,2,5,0,4,1,0,0,38,39,>50K
31,2,241797,7,10,0,12,4,4,0,0,0,40,39,<=50K
33,2,265168,2,13,2,11,0,2,1,0,0,55,39,<=50K
41,2,171234,7,10,4,6,1,4,0,0,0,48,39,<=50K
22,2,178452,4,9,4,6,3,2,1,0,0,40,39,<=50K
46,2,157857,7,10,2,10,0,4,1,0,0,40,39,>50K
30,2,296462,4,9,4,3,1,2,1,0,0,40,39,<=50K
42,2,171615,4,9,2,3,0,4,1,0,0,55,39,>50K
26,2,172421,7,10,2,11,0,4,1,0,0,40,39,<=50K
23,2,316841,7,10,2,7,0,4,1,0,0,40,39,<=50K
25,2,236267,4,9,4,6,4,4,1,0,1590,40,39,<=50K
23,2,318483,4,9,4,11,3,4,1,0,0,40,39,<=50K
30,2,238186,4,9,2,6,2,4,1,0,2057,48,39,<=50K
39,2,329980,7,10,2,2,0,4,1,0,0,40,39,>50K
38,1,34744,7,10,0,0,4,4,0,0,0,38,39,<=50K
26,2,98114,4,9,0,3,3,4,0,0,0,40,39,<=50K
37,1,263690,2,13,4,9,4,2,1,0,0,40,0,<=50K
33,2,147430,4,9,2,0,3,4,0,0,0,40,39,<=50K
24,2,224238,2,13,4,0,3,4,1,0,0,40,39,<=50K
42,3,212894,2,13,2,3,0,4,1,0,0,60,39,>50K
56,1,38573,0,12,2,12,0,4,1,0,0,45,39,>50K
22,2,197200,7,10,4,5,3,4,1,0,0,40,39,<=50K
52,4,182796,7,10,2,4,0,4,1,0,0,60,39,<=50K
44,2,184527,2,13,0,3,4,4,0,4934,0,45,39,>50K
34,2,145231,4,9,2,0,5,4,0,4064,0,35,39,<=50K
51,2,43354,7,10,0,2,1,4,1,0,0,42,39,>50K
20,6,318865,7,10,4,14,1,4,1,0,0,40,39,<=50K
37,2,98776,2,13,2,3,0,4,1,0,0,40,39,>50K
68,2,257557,4,9,2,6,0,2,1,0,0,40,39,>50K
22,2,102258,7,10,0,10,1,4,1,0,0,40,39,<=50K
56,3,170287,2,13,2,3,0,4,1,0,0,40,39,<=50K
37,2,243409,4,9,2,2,0,4,1,0,0,40,39,<=50K
26,2,248057,4,9,5,5,3,4,1,0,0,40,33,<=50K
33,2,95530,5,14,2,9,0,4,1,0,0,50,39,<=50K
45,1,54038,5,14,0,9,4,4,0,0,0,42,39,<=50K
43,4,388725,7,10,2,4,0,4,1,0,0,60,39,>50K
20,6,303121,7,10,4,14,3,4,1,0,0,45,39,<=50K
57,2,78020,4,9,2,2,0,4,1,0,0,40,39,>50K
41,2,249254,4,9,0,0,4,4,0,3674,0,42,39,<=50K
34,2,87218,5,14,2,3,0,4,1,0,1887,50,39,>50K
19,2,304299,4,9,4,11,4,4,0,0,0,40,39,<=50K
48,2,253596,2,13,0,3,4,4,0,0,0,48,39,<=50K
29,2,39257,4,9,2,13,0,4,1,0,0,40,39,>50K
33,2,56150,2,13,4,2,1,4,1,2174,0,40,39,<=50K
39,2,252445,5,14,2,9,0,4,1,0,0,45,39,>50K
27,2,106562,2,13,4,9,1,4,0,0,0,50,39,>50K
26,2,181896,4,9,4,7,3,4,0,0,0,40,39,<=50K
31,2,106014,1,11,0,2,4,4,1,0,0,40,39,<=50K
45,6,319993,4,9,6,14,4,4,0,0,0,40,26,<=50K
23,2,197997,4,9,4,5,3,4,1,0,0,30,39,<=50K
36,1,173542,4,9,0,0,4,4,0,0,0,40,39,<=50K
37,2,123361,2,13,2,9,0,2,1,0,0,50,39,>50K
33,2,90409,2,13,4,11,1,4,1,0,0,45,39,<=50K
32,0,149573,0,12,4,10,1,2,1,0,0,40,39,<=50K
35,2,249456,2,13,4,0,3,2,0,0,0,40,39,<=50K
44,2,292985,7,10,0,2,1,4,1,0,0,60,39,<=50K
29,1,400074,7,10,2,3,3,4,0,0,0,40,39,<=50K
55,2,197399,4,9,2,2,0,4,1,0,0,50,39,>50K
45,4,355978,7,10,2,11,0,4,1,0,0,60,39,>50K
